user_id,month,risk_probability,risk_level,financial_pressure,intervention,intervention_priority,cate,recommendation_status,explanation,model_drivers,intervention_description
341,2026-09-01,0.7251157020654154,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0275238800419006,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
352,2026-09-01,0.6830220014253063,HIGH,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,0.0886158230314577,RULE_BASED_RECOMMENDATION,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Review recurring obligations and reduce near-term payment pressure.
357,2026-09-01,0.7472360680938923,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.0430353901917368,SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
358,2026-09-01,0.6719900180778499,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.2296011630343306,STRONG_SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Protect available cash and preserve a minimum liquidity buffer.
361,2026-09-01,0.6687511307325801,HIGH,STABLE,SAVINGS_REINFORCEMENT,4,-0.2190992980785686,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
362,2026-09-01,0.4844461482935743,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.1154557140199555,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
372,2026-09-01,0.6505081022256038,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.1454962541042264,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
391,2026-09-01,0.5272319308337018,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.093764299454702,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
412,2026-09-01,0.0,LOW,LIQUIDITY_PRESSURE,SAVINGS_REINFORCEMENT,4,0.0689925128097997,MONITOR,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
416,2026-09-01,0.5187441004809104,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.110404183972489,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
428,2026-09-01,0.49311445680843125,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1157444408446731,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
430,2026-09-01,0.6462089551930161,HIGH,SPENDING_PRESSURE,SPENDING_CONTROL,2,0.0937102663132075,RULE_BASED_RECOMMENDATION,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Reduce discretionary spending and slow spending growth.
487,2026-09-01,0.6127209371686199,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0961230827615771,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
494,2026-09-01,0.5548988,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0846128696295103,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
505,2026-09-01,0.6389966266156271,HIGH,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.1714974799810328,STRONG_SIMULATED_SUPPORT,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Review recurring obligations and reduce near-term payment pressure.
507,2026-09-01,0.6068230813716992,HIGH,STABLE,SAVINGS_REINFORCEMENT,4,-0.0367807776660332,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
515,2026-09-01,0.5789296395166119,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1488877722151717,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
536,2026-09-01,0.8500320750000001,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.0810107698029523,SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
540,2026-09-01,0.5272403743683801,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0863871134175345,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
560,2026-09-01,0.5996451364395997,MODERATE,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.1707635656210498,STRONG_SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Protect available cash and preserve a minimum liquidity buffer.
568,2026-09-01,0.6725601551278058,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0975769472372648,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
576,2026-09-01,0.6915318258243173,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0078049557723303,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
586,2026-09-01,0.6465037880816351,HIGH,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,0.1066096854641745,RULE_BASED_RECOMMENDATION,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Review recurring obligations and reduce near-term payment pressure.
595,2026-09-01,0.6218381750565845,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.0182702161028401,SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Protect available cash and preserve a minimum liquidity buffer.
615,2026-09-01,0.551533025,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,0.0339409398364507,RULE_BASED_RECOMMENDATION,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Review recurring obligations and reduce near-term payment pressure.
620,2026-09-01,0.5691218197223915,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1241872253968093,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
628,2026-09-01,0.8421396785692005,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.0322726088983829,SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
660,2026-09-01,0.701058610504944,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0767747608522107,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
676,2026-09-01,0.6068984039207944,HIGH,STABLE,SAVINGS_REINFORCEMENT,4,-0.0043551769366399,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
681,2026-09-01,0.543988775,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.0653185074084844,SIMULATED_SUPPORT,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Review recurring obligations and reduce near-term payment pressure.
687,2026-09-01,0.7606581369876966,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.0215800596032794,SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
692,2026-09-01,0.5101211381139312,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.0956285364675458,SIMULATED_SUPPORT,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Review recurring obligations and reduce near-term payment pressure.
696,2026-09-01,0.7675327392462274,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.2051573757697986,STRONG_SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Protect available cash and preserve a minimum liquidity buffer.
703,2026-09-01,0.608778350824663,HIGH,STABLE,SAVINGS_REINFORCEMENT,4,-0.0279303358419993,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
727,2026-09-01,0.5876821750000001,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0482872318245014,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
729,2026-09-01,0.6022114820025029,HIGH,STABLE,SAVINGS_REINFORCEMENT,4,-0.0523618969108521,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
738,2026-09-01,0.5366784878879199,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0848097814136903,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
744,2026-09-01,0.5443975840542344,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.1293179525252822,STRONG_SIMULATED_SUPPORT,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Review recurring obligations and reduce near-term payment pressure.
750,2026-09-01,0.590048840140219,MODERATE,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.1314910829767642,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
754,2026-09-01,0.6344526562581928,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.139646643604074,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
801,2026-09-01,0.6657080544466704,HIGH,STABLE,SAVINGS_REINFORCEMENT,4,0.0074364258219754,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
824,2026-09-01,0.51885915,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.0547393646010889,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
827,2026-09-01,0.6899356677598547,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0376616345470834,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Protect available cash and preserve a minimum liquidity buffer.
848,2026-09-01,0.6191783289441998,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0468840236174836,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
891,2026-09-01,0.8141764946920322,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.0829300485447934,SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
918,2026-09-01,0.5507173036448301,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.19165205273344,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
923,2026-09-01,0.5087532499999999,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1822611071132743,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
930,2026-09-01,0.5794837242836195,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1174325341454833,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
937,2026-09-01,0.5213714968751141,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.2027848773080471,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
938,2026-09-01,0.6606328,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.074657678227607,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
940,2026-09-01,0.6864739341319861,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0503960403152084,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
942,2026-09-01,0.5214364237407506,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.0473972311894646,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
948,2026-09-01,0.5816581029674285,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0818281991922118,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
953,2026-09-01,0.50331455,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0145666249170504,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
962,2026-09-01,0.5130431047570481,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.0350207741819583,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
965,2026-09-01,0.5633344232092095,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1247141677551894,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
967,2026-09-01,0.6989311942672908,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,0.0075614260230629,RULE_BASED_RECOMMENDATION,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
977,2026-09-01,0.48872080381960015,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0836060486167835,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
990,2026-09-01,0.5626840365754716,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.0707773272335966,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
993,2026-09-01,0.5125747627145122,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1441529474330826,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
997,2026-09-01,0.722185225,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.0663876469247983,SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Protect available cash and preserve a minimum liquidity buffer.
9,2026-09-01,0.5202337844650987,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.3030559067838482,STRONG_SIMULATED_SUPPORT,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Review recurring obligations and reduce near-term payment pressure.
20,2026-09-01,0.4574914805762182,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.1771785461187617,MONITOR,Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
31,2026-09-01,0.5966677986458125,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.0897379805224605,SIMULATED_SUPPORT,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Review recurring obligations and reduce near-term payment pressure.
